date,time,Air_Temp,Barometric_Press,Dew_Point,Relative_Humidity,Wind_Dir,Wind_Gust,Wind_Speed
2015_01_01,1:52:54,19.8,30.6,15.88,84.4,156.2,13,7.4
2015_01_01,1:57:44,19.86,30.6,15.94,84.4,140.81,13,8
2015_01_01,1:57:54,19.86,30.6,15.94,84.4,140.81,13,8
2015_01_01,2:02:44,19.86,30.6,15.74,83.6,131.23,13,6
2015_01_01,2:02:54,19.86,30.6,15.74,83.6,131.23,13,6
2015_01_01,2:07:44,19.7,30.6,15.6,83.8,126.34,11,8.6
2015_01_01,2:07:54,19.7,30.6,15.6,83.8,126.34,11,8.6
2015_01_01,2:12:44,19.76,30.6,15.88,84.6,143.39,11,6.4
2015_01_01,2:12:54,19.76,30.6,15.88,84.6,143.39,11,6.4
2015_01_01,2:17:44,19.7,30.6,15.74,84.2,163.23,13,8.8
2015_01_01,2:17:54,19.7,30.6,15.74,84.2,163.23,13,8.8
2015_01_01,2:22:45,19.6,30.6,15.48,83.6,162.56,13,8.4
2015_01_01,2:22:54,19.6,30.6,15.48,83.6,162.56,13,8.4
2015_01_01,2:27:45,19.62,30.6,15.8,84.8,154.13,13,8.6
2015_01_01,2:27:54,19.62,30.6,15.8,84.8,154.13,13,8.6
2015_01_01,2:32:45,19.72,30.59,15.92,85,163.09,13,8.8
2015_01_01,2:32:54,19.72,30.59,15.92,85,163.09,13,8.8
2015_01_01,2:37:45,19.76,30.59,16.08,85.4,162.4,12,7.6
2015_01_01,2:37:54,19.76,30.59,16.08,85.4,162.4,12,7.6
2015_01_01,2:42:45,19.66,30.59,15.7,84.2,172.62,12,6.6
2015_01_01,2:42:54,19.66,30.59,15.7,84.2,172.62,12,6.6
2015_01_01,2:47:45,19.7,30.59,15.78,84.4,170.21,12,5.8
2015_01_01,2:47:54,19.7,30.59,15.78,84.4,170.21,12,5.8
2015_01_01,2:52:45,19.62,30.59,15.44,83.4,172.12,12,6.4
2015_01_01,2:52:55,19.62,30.59,15.44,83.4,172.12,12,6.4
2015_01_01,2:57:45,19.6,30.59,15.72,84.6,144.61,12,7
2015_01_01,2:57:55,19.6,30.59,15.72,84.6,144.61,12,7
2015_01_01,3:02:45,19.54,30.59,15.58,84.2,139.84,12,5.2
2015_01_01,3:02:55,19.54,30.59,15.58,84.2,139.84,12,5.2
2015_01_01,3:07:45,19.5,30.59,15.58,84.4,141.21,9,6.2
2015_01_01,3:07:55,19.5,30.59,15.58,84.4,141.21,9,6.2
2015_01_01,3:12:45,19.72,30.6,16.22,86,118.43,9,7
2015_01_01,3:12:55,19.72,30.6,16.22,86,118.43,9,7
2015_01_01,3:17:45,19.72,30.59,15.96,85,142.38,12,7.6
2015_01_01,3:17:55,19.72,30.59,15.96,85,142.38,12,7.6
2015_01_01,3:22:45,19.48,30.59,15.64,84.8,138.82,12,7
2015_01_01,3:22:55,19.48,30.59,15.64,84.8,138.82,12,7
2015_01_01,3:27:45,19.5,30.6,15.94,85.8,130.19,12,6.8
2015_01_01,3:27:55,19.5,30.6,15.94,85.8,130.19,12,6.8
2015_01_01,3:32:45,19.44,30.59,15.64,85,153.71,12,5.8
2015_01_01,3:32:55,19.44,30.59,15.64,85,153.71,12,5.8
2015_01_01,3:37:45,19.48,30.59,15.98,86,148.03,12,8.6
2015_01_01,3:37:55,19.48,30.59,15.98,86,148.03,12,8.6
2015_01_01,3:42:46,19.5,30.59,15.88,85.6,158.14,12,6.6
2015_01_01,3:42:55,19.5,30.59,15.88,85.6,158.14,12,6.6
2015_01_01,3:47:46,19.46,30.59,15.62,84.8,140.4,12,5.6
2015_01_01,3:47:55,19.46,30.59,15.62,84.8,140.4,12,5.6
2015_01_01,3:52:46,19.4,30.59,15.44,84.2,148.42,12,2.4
2015_01_01,3:52:55,19.4,30.59,15.44,84.2,148.42,12,2.4
2015_01_01,3:57:46,19.34,30.58,15.42,84.4,143.15,12,6
2015_01_01,3:57:55,19.34,30.58,15.42,84.4,143.15,12,6
2015_01_01,4:02:46,19.46,30.58,15.9,85.8,150.08,12,7.8
2015_01_01,4:02:55,19.46,30.58,15.9,85.8,150.08,12,7.8
2015_01_01,4:07:46,19.54,30.58,15.86,85.4,139.88,10,6.2
2015_01_01,4:07:56,19.54,30.58,15.86,85.4,139.88,10,6.2
2015_01_01,4:12:46,19.5,30.58,15.7,85,158.98,10,3.8
2015_01_01,4:12:56,19.5,30.58,15.7,85,158.98,10,3.8
2015_01_01,4:17:46,19.48,30.58,15.68,85,133.81,10,5.8
2015_01_01,4:17:56,19.48,30.58,15.68,85,133.81,10,5.8
2015_01_01,4:22:46,19.62,30.58,16.36,86.8,125.14,11,7.2
2015_01_01,4:22:56,19.62,30.58,16.36,86.8,125.14,11,7.2
2015_01_01,4:27:46,19.9,30.57,16.82,87.6,119.94,13,7.2
2015_01_01,4:27:56,19.9,30.57,16.82,87.6,119.94,13,7.2
2015_01_01,4:32:46,20,30.57,16.62,86.4,146.32,13,4.4
2015_01_01,4:32:56,20,30.57,16.62,86.4,146.32,13,4.4
2015_01_01,4:37:46,19.9,30.57,16.22,85.4,139.51,8,5.4
2015_01_01,4:37:56,19.9,30.57,16.22,85.4,139.51,8,5.4
2015_01_01,4:42:46,19.8,30.57,16.18,85.6,155.98,8,3.6
2015_01_01,4:42:56,19.8,30.57,16.18,85.6,155.98,8,3.6
2015_01_01,4:47:46,19.8,30.57,16.18,85.6,124.17,8,3.6
2015_01_01,4:47:56,19.8,30.57,16.18,85.6,124.17,8,3.6
2015_01_01,4:52:46,19.84,30.57,16.52,86.6,112.2,9,5
2015_01_01,4:52:56,19.84,30.57,16.52,86.6,112.2,9,5
2015_01_01,4:57:46,19.82,30.58,16.04,85,92.88,9,2.8
2015_01_01,4:57:56,19.82,30.58,16.04,85,92.88,9,2.8
2015_01_01,5:02:47,19.78,30.57,16.1,85.4,143.54,9,3.2
2015_01_01,5:02:56,19.78,30.57,16.1,85.4,143.54,9,3.2
2015_01_01,5:07:47,19.76,30.57,16.2,85.8,120.49,6,4.6
2015_01_01,5:07:56,19.76,30.57,16.2,85.8,120.49,6,4.6
2015_01_01,5:12:47,19.8,30.57,16.18,85.6,59.06,12,5.2
2015_01_01,5:12:56,19.8,30.57,16.18,85.6,59.06,12,5.2
2015_01_01,5:17:47,19.7,30.57,15.74,84.2,50.4,12,6.6
2015_01_01,5:17:56,19.7,30.57,15.74,84.2,50.4,12,6.6
2015_01_01,5:22:47,19.62,30.57,15.26,82.8,80.2,12,7.8
2015_01_01,5:22:56,19.62,30.57,15.26,82.8,80.2,12,7.8
2015_01_01,5:27:47,19.7,30.56,15.46,83.2,78.03,12,6.2
2015_01_01,5:27:57,19.7,30.56,15.46,83.2,78.03,12,6.2
2015_01_01,5:32:47,19.72,30.56,15.36,82.8,70.59,12,7.8
2015_01_01,5:32:57,19.72,30.56,15.36,82.8,70.59,12,7.8
2015_01_01,5:37:47,19.82,30.57,15.56,83.2,79.45,12,6.2
2015_01_01,5:37:57,19.82,30.57,15.56,83.2,79.45,12,6.2
2015_01_01,5:42:47,19.92,30.57,16.04,84.6,94.46,12,4.8
2015_01_01,5:42:57,19.92,30.57,16.04,84.6,94.46,12,4.8
2015_01_01,5:47:47,19.96,30.56,16.4,85.8,112.6,12,5.8
2015_01_01,5:47:57,19.96,30.56,16.4,85.8,112.6,12,5.8
2015_01_01,5:52:47,19.98,30.56,16.42,85.8,115.4,12,8.4
2015_01_01,5:52:57,19.98,30.56,16.42,85.8,115.4,12,8.4
2015_01_01,5:57:47,20,30.56,16.62,86.4,123.59,12,8.6
2015_01_01,5:57:57,20,30.56,16.62,86.4,123.59,12,8.6
2015_01_01,6:02:47,20,30.56,16.68,86.6,104.02,12,7
2015_01_01,6:02:57,20,30.56,16.68,86.6,104.02,12,7
2015_01_01,6:07:47,19.88,30.56,16.5,86.4,107.38,9,6.8
2015_01_01,6:07:57,19.88,30.56,16.5,86.4,107.38,9,6.8
2015_01_01,6:12:47,19.8,30.56,16.42,86.4,126.44,9,6
2015_01_01,6:12:57,19.8,30.56,16.42,86.4,126.44,9,6
2015_01_01,6:17:48,19.8,30.56,16.54,86.8,132.79,12,8.4
2015_01_01,6:17:57,19.8,30.56,16.54,86.8,132.79,12,8.4
2015_01_01,6:22:48,19.68,30.56,16.24,86.2,147.62,12,9
2015_01_01,6:22:57,19.68,30.56,16.24,86.2,147.62,12,9
2015_01_01,6:27:48,19.42,30.56,15.8,85.6,155.39,12,6.8
2015_01_01,6:27:57,19.42,30.56,15.8,85.6,155.39,12,6.8
2015_01_01,6:32:48,19.42,30.56,16.04,86.4,127.97,12,9.4
2015_01_01,6:32:57,19.42,30.56,16.04,86.4,127.97,12,9.4
2015_01_01,6:37:48,19.52,30.56,16.24,86.8,124.6,12,8.4
2015_01_01,6:37:57,19.52,30.56,16.24,86.8,124.6,12,8.4
2015_01_01,6:42:48,19.62,30.56,16.34,86.8,127.96,12,8.8
2015_01_01,6:42:57,19.62,30.56,16.34,86.8,127.96,12,8.8
2015_01_01,6:47:48,19.5,30.56,16,86,123.2,13,8.8
2015_01_01,6:47:58,19.5,30.56,16,86,123.2,13,8.8
2015_01_01,6:52:48,19.52,30.56,16.32,87,114.95,13,7.8
2015_01_01,6:52:58,19.52,30.56,16.32,87,114.95,13,7.8
2015_01_01,6:57:48,19.56,30.55,16,85.8,132.18,13,6.2
2015_01_01,6:57:58,19.56,30.55,16,85.8,132.18,13,6.2
2015_01_01,7:02:48,19.42,30.55,15.62,85,119.29,13,6.4
2015_01_01,7:02:58,19.42,30.55,15.62,85,119.29,13,6.4
2015_01_01,7:07:48,19.34,30.55,15.66,85.4,127.81,11,7.2
2015_01_01,7:07:58,19.34,30.55,15.66,85.4,127.81,11,7.2
2015_01_01,7:12:48,19.34,30.56,15.78,85.8,125.69,11,7.8
2015_01_01,7:12:58,19.34,30.56,15.78,85.8,125.69,11,7.8
2015_01_01,7:17:48,19.42,30.55,16.26,87.2,118.7,11,7.8
2015_01_01,7:17:58,19.42,30.55,16.26,87.2,118.7,11,7.8
2015_01_01,7:22:48,19.48,30.56,16.22,86.8,133.99,12,7
2015_01_01,7:22:58,19.48,30.56,16.22,86.8,133.99,12,7
2015_01_01,7:27:48,19.44,30.56,16.48,88,118.53,12,5.6
2015_01_01,7:27:58,19.44,30.56,16.48,88,118.53,12,5.6
2015_01_01,7:32:48,19.44,30.56,15.82,85.6,127.77,12,5.2
2015_01_01,7:32:58,19.44,30.56,15.82,85.6,127.77,12,5.2
2015_01_01,7:37:48,19.36,30.56,15.64,85.2,156.17,7,3.6
2015_01_01,7:37:58,19.36,30.56,15.64,85.2,156.17,7,3.6
2015_01_01,7:42:48,19.3,30.56,15.56,85.2,115.34,9,6.2
2015_01_01,7:42:58,19.3,30.56,15.56,85.2,115.34,9,6.2
2015_01_01,7:47:49,19.3,30.57,15.74,85.8,84.01,9,3.2
2015_01_01,7:47:58,19.3,30.57,15.74,85.8,84.01,9,3.2
2015_01_01,7:52:49,19.36,30.56,16.2,87.2,50.9,9,4.2
2015_01_01,7:52:58,19.36,30.56,16.2,87.2,50.9,9,4.2
2015_01_01,7:57:49,19.64,30.57,16.46,87.2,93.84,9,4.4
2015_01_01,7:57:58,19.64,30.57,16.46,87.2,93.84,9,4.4
2015_01_01,8:02:49,19.52,30.57,15.7,84.8,59.78,10,6.2
2015_01_01,8:02:58,19.52,30.57,15.7,84.8,59.78,10,6.2
2015_01_01,8:07:49,19.62,30.57,15.6,84,40.35,13,7.8
2015_01_01,8:07:58,19.62,30.57,15.6,84,40.35,13,7.8
2015_01_01,8:12:49,19.58,30.56,15.7,84.6,43.35,15,8.4
2015_01_01,8:12:58,19.58,30.56,15.7,84.6,43.35,15,8.4
2015_01_01,8:17:49,19.6,30.56,15.22,82.8,58.79,15,6.4
2015_01_01,8:17:59,19.6,30.56,15.22,82.8,58.79,15,6.4
2015_01_01,8:22:49,19.44,30.56,15.08,82.8,60.8,15,6.2
2015_01_01,8:22:59,19.44,30.56,15.08,82.8,60.8,15,6.2
2015_01_01,8:27:49,19.56,30.56,15.02,82.2,51,15,7.4
2015_01_01,8:27:59,19.56,30.56,15.02,82.2,51,15,7.4
2015_01_01,8:32:49,19.48,30.57,15.02,82.6,38.61,15,5.6
2015_01_01,8:32:59,19.48,30.57,15.02,82.6,38.61,15,5.6
2015_01_01,8:37:49,19.34,30.57,14.84,82.4,55.8,11,4.6
2015_01_01,8:37:59,19.34,30.57,14.84,82.4,55.8,11,4.6
2015_01_01,8:42:49,19.46,30.57,15.4,84,46.71,16,9.4
2015_01_01,8:42:59,19.46,30.57,15.4,84,46.71,16,9.4
2015_01_01,8:47:49,19.64,30.57,15.44,83.4,40.83,20,10.2
2015_01_01,8:47:59,19.64,30.57,15.44,83.4,40.83,20,10.2
2015_01_01,8:52:49,19.78,30.57,15.64,83.6,19.59,20,10
2015_01_01,8:52:59,19.78,30.57,15.64,83.6,19.59,20,10
2015_01_01,8:57:49,19.78,30.57,15.76,84,30.54,20,10
2015_01_01,8:57:59,19.78,30.57,15.76,84,30.54,20,10
2015_01_01,9:02:49,19.44,30.57,14.9,82.2,18.03,20,7.4
2015_01_01,9:02:59,19.44,30.57,14.9,82.2,18.03,20,7.4
2015_01_01,9:07:50,19.5,30.56,15.8,85.2,27.61,14,8.8
2015_01_01,9:07:59,19.5,30.56,15.8,85.2,27.61,14,8.8
2015_01_01,9:12:50,19.26,30.56,14.84,82.6,31.16,14,8.8
2015_01_01,9:12:59,19.26,30.56,14.84,82.6,31.16,14,8.8
2015_01_01,9:17:50,19.36,30.57,15.38,84.2,7.31,14,10.8
2015_01_01,9:17:59,19.36,30.57,15.38,84.2,7.31,14,10.8
2015_01_01,9:22:50,19.4,30.57,15.66,85.2,10.61,14,10.4
2015_01_01,9:22:59,19.4,30.57,15.66,85.2,10.61,14,10.4
2015_01_01,9:27:50,19.24,30.57,15.12,83.6,21.81,14,9
2015_01_01,9:27:59,19.24,30.57,15.12,83.6,21.81,14,9
2015_01_01,9:32:50,19.22,30.57,15.24,84.2,8.52,15,9.2
2015_01_01,9:32:59,19.22,30.57,15.24,84.2,8.52,15,9.2
2015_01_01,9:37:50,19.28,30.57,15.36,84.4,12.32,14,9
2015_01_01,9:38:00,19.28,30.57,15.36,84.4,12.32,14,9
2015_01_01,9:42:50,19.66,30.57,16.16,86,14.2,15,11
2015_01_01,9:43:00,19.66,30.57,16.16,86,14.2,15,11
2015_01_01,9:47:50,19.82,30.57,16.5,86.6,19.37,18,13.4
2015_01_01,9:48:00,19.82,30.57,16.5,86.6,19.37,18,13.4
2015_01_01,9:52:50,19.52,30.57,15.68,84.8,6.47,18,10.2
2015_01_01,9:53:00,19.52,30.57,15.68,84.8,6.47,18,10.2
2015_01_01,9:57:50,19.28,30.57,15.36,84.4,14.05,18,10.2
2015_01_01,9:58:00,19.28,30.57,15.36,84.4,14.05,18,10.2
2015_01_01,10:02:50,19.38,30.57,15.72,85.4,26.2,18,11.8
2015_01_01,10:03:00,19.38,30.57,15.72,85.4,26.2,18,11.8
2015_01_01,10:07:50,19.3,30.57,15.42,84.6,13.98,16,11.2
2015_01_01,10:08:00,19.3,30.57,15.42,84.6,13.98,16,11.2
2015_01_01,10:12:51,19.28,30.57,15.3,84.2,8.62,16,8.6
2015_01_01,10:13:00,19.28,30.57,15.3,84.2,8.62,16,8.6
2015_01_01,10:17:51,19.32,30.57,15.4,84.4,15.89,16,8.2
2015_01_01,10:18:00,19.32,30.57,15.4,84.4,15.89,16,8.2
2015_01_01,10:22:51,19.52,30.57,15.74,85,13.21,16,10.2
2015_01_01,10:23:00,19.52,30.57,15.74,85,13.21,16,10.2
2015_01_01,10:27:51,19.48,30.57,15.5,84.2,13.19,17,11
2015_01_01,10:28:00,19.48,30.57,15.5,84.2,13.19,17,11
2015_01_01,10:32:51,19.26,30.57,15.22,84,21.5,17,9.2
2015_01_01,10:33:00,19.26,30.57,15.22,84,21.5,17,9.2
2015_01_01,10:37:51,19.42,30.57,15.38,84,12.32,12,8.6
2015_01_01,10:38:00,19.42,30.57,15.38,84,12.32,12,8.6
2015_01_01,10:42:51,19.5,30.57,15.54,84.2,42.6,13,9
2015_01_01,10:43:00,19.5,30.57,15.54,84.2,42.6,13,9
2015_01_01,10:47:51,19.36,30.57,15.12,83.2,14.76,13,7.6
2015_01_01,10:48:00,19.36,30.57,15.12,83.2,14.76,13,7.6
2015_01_01,10:52:51,19.46,30.56,15.56,84.6,24.03,13,9.6
2015_01_01,10:53:01,19.46,30.56,15.56,84.6,24.03,13,9.6
2015_01_01,10:57:51,19.68,30.56,16.02,85.4,18.73,13,8.6
2015_01_01,10:58:01,19.68,30.56,16.02,85.4,18.73,13,8.6
2015_01_01,11:02:51,19.74,30.56,15.82,84.4,9.2,13,5.6
2015_01_01,11:03:01,19.74,30.56,15.82,84.4,9.2,13,5.6
2015_01_01,11:07:51,19.72,30.55,15.8,84.4,39.81,11,8
2015_01_01,11:08:01,19.72,30.55,15.8,84.4,39.81,11,8
2015_01_01,11:12:51,20.06,30.55,16.38,85.4,5.31,11,6
2015_01_01,11:13:01,20.06,30.55,16.38,85.4,5.31,11,6
2015_01_01,11:17:52,20.04,30.55,15.66,82.8,10.01,11,4.4
2015_01_01,11:18:01,20.04,30.55,15.66,82.8,10.01,11,4.4
2015_01_01,11:22:52,19.7,30.55,15.34,82.8,342.24,11,4
2015_01_01,11:23:01,19.7,30.55,15.34,82.8,342.24,11,4
2015_01_01,11:27:52,19.66,30.55,15.52,83.6,343.52,11,5.2
2015_01_01,11:28:01,19.66,30.55,15.52,83.6,343.52,11,5.2
2015_01_01,11:32:52,19.68,30.55,15.5,83.4,333.51,11,2.8
2015_01_01,11:33:01,19.68,30.55,15.5,83.4,333.51,11,2.8
2015_01_01,11:37:52,19.94,30.55,16.12,84.8,3.83,10,5
2015_01_01,11:38:01,19.94,30.55,16.12,84.8,3.83,10,5
2015_01_01,11:42:52,19.8,30.55,15.2,82,19.23,10,4
2015_01_01,11:43:01,19.8,30.55,15.2,82,19.23,10,4
2015_01_01,11:47:52,19.7,30.54,14.98,81.6,18.79,10,2
2015_01_01,11:48:01,19.7,30.54,14.98,81.6,18.79,10,2
2015_01_01,11:52:52,19.68,30.54,14.78,81,219.01,10,2.6
2015_01_01,11:53:01,19.68,30.54,14.78,81,219.01,10,2.6
2015_01_01,11:57:52,19.72,30.54,14.94,81.4,291.89,10,3.8
2015_01_01,11:58:01,19.72,30.54,14.94,81.4,291.89,10,3.8
2015_01_01,12:02:52,19.76,30.54,14.98,81.4,307.27,10,4.6
2015_01_01,12:03:01,19.76,30.54,14.98,81.4,307.27,10,4.6
2015_01_01,12:07:52,19.74,30.54,15.02,81.6,315.6,7,3.4
2015_01_01,12:08:01,19.74,30.54,15.02,81.6,315.6,7,3.4
2015_01_01,12:12:52,19.84,30.54,15,81.2,339.73,7,3
2015_01_01,12:13:02,19.84,30.54,15,81.2,339.73,7,3
2015_01_01,12:17:52,19.94,30.54,15.16,81.4,19.88,7,2
2015_01_01,12:18:02,19.94,30.54,15.16,81.4,19.88,7,2
2015_01_01,12:22:53,20.1,30.53,15.44,81.8,18.83,7,2.2
2015_01_01,12:23:02,20.1,30.53,15.44,81.8,18.83,7,2.2
2015_01_01,12:27:53,20.36,30.53,15.88,82.4,344.97,7,3
2015_01_01,12:28:02,20.36,30.53,15.88,82.4,344.97,7,3
2015_01_01,12:32:53,20.48,30.53,15.52,80.8,318.76,7,4.4
2015_01_01,12:33:02,20.48,30.53,15.52,80.8,318.76,7,4.4
2015_01_01,12:37:53,20.4,30.53,15.38,80.6,309.85,5,2.8
2015_01_01,12:38:02,20.4,30.53,15.38,80.6,309.85,5,2.8
2015_01_01,12:42:53,20.4,30.53,15.32,80.4,307.07,5,2.6
2015_01_01,12:43:02,20.4,30.53,15.32,80.4,307.07,5,2.6
2015_01_01,12:47:53,20.4,30.53,15.14,79.8,289.81,5,1.8
2015_01_01,12:48:02,20.4,30.53,15.14,79.8,289.81,5,1.8
2015_01_01,12:52:53,20.56,30.53,15.54,80.6,302.24,5,2
2015_01_01,12:53:02,20.56,30.53,15.54,80.6,302.24,5,2
2015_01_01,12:57:53,20.62,30.52,15.3,79.6,295.8,5,0.6
2015_01_01,12:58:02,20.62,30.52,15.3,79.6,295.8,5,0.6
2015_01_01,13:02:53,20.7,30.52,15.44,79.8,296.41,5,0.8
2015_01_01,13:03:02,20.7,30.52,15.44,79.8,296.41,5,0.8
2015_01_01,13:07:53,20.84,30.52,15.58,79.8,277.5,4,1.4
2015_01_01,13:08:02,20.84,30.52,15.58,79.8,277.5,4,1.4
2015_01_01,13:12:53,20.94,30.52,15.5,79.2,352.64,6,3.8
2015_01_01,13:13:02,20.94,30.52,15.5,79.2,352.64,6,3.8
2015_01_01,13:17:53,20.84,30.52,15.34,79,350.49,6,1.8
2015_01_01,13:18:02,20.84,30.52,15.34,79,350.49,6,1.8
2015_01_01,13:22:53,20.9,30.52,15.7,80,328.65,6,2
2015_01_01,13:23:02,20.9,30.52,15.7,80,328.65,6,2
2015_01_01,13:27:54,20.9,30.52,15.46,79.2,309.52,6,2
2015_01_01,13:28:03,20.9,30.52,15.46,79.2,309.52,6,2
2015_01_01,13:32:54,20.9,30.52,15.34,78.8,328.34,6,0.8
2015_01_01,13:33:03,20.9,30.52,15.34,78.8,328.34,6,0.8
2015_01_01,13:37:54,20.9,30.52,15.34,78.8,344.41,3,1
2015_01_01,13:38:03,20.9,30.52,15.34,78.8,344.41,3,1
2015_01_01,13:42:54,20.96,30.51,15.34,78.6,333,3,0.2
2015_01_01,13:43:03,20.96,30.51,15.34,78.6,333,3,0.2
2015_01_01,13:47:54,21.14,30.51,16,80.2,321.8,3,0.6
2015_01_01,13:48:03,21.14,30.51,16,80.2,321.8,3,0.6
2015_01_01,13:52:54,21.22,30.51,15.66,78.8,304,3,1
2015_01_01,13:53:03,21.22,30.51,15.66,78.8,304,3,1
2015_01_01,13:57:54,21.18,30.51,15.68,79,277,3,1.8
2015_01_01,13:58:03,21.18,30.51,15.68,79,277,3,1.8
2015_01_01,14:02:54,21.2,30.51,15.64,78.8,270.81,3,0.4
2015_01_01,14:03:03,21.2,30.51,15.64,78.8,270.81,3,0.4
2015_01_01,14:07:54,21.24,30.52,15.74,79,238.19,3,1.2
2015_01_01,14:08:03,21.24,30.52,15.74,79,238.19,3,1.2
2015_01_01,14:12:54,21.3,30.51,15.68,78.6,228.6,3,1
2015_01_01,14:13:03,21.3,30.51,15.68,78.6,228.6,3,1
2015_01_01,14:17:54,21.34,30.52,15.66,78.4,133.06,4,0.8
2015_01_01,14:19:12,21.32,30.52,15.52,78,94.51,4,1
2015_01_01,14:22:54,21.34,30.51,15.84,79,101,4,0.2
2015_01_01,14:24:12,21.4,30.52,16.14,79.8,66.6,4,1.2
2015_01_01,14:27:54,21.48,30.52,16.16,79.6,36.58,4,2.8
2015_01_01,14:29:12,21.5,30.52,16.06,79.2,45.77,4,2.2
2015_01_01,14:32:54,21.5,30.51,16,79,357.06,4,1.2
2015_01_01,14:34:12,21.5,30.51,16,79,8.26,4,1.2
2015_01_01,14:37:54,21.5,30.51,16.06,79.2,79.43,5,3.2
2015_01_01,14:39:12,21.5,30.51,16.06,79.2,70.12,5,3.6
2015_01_01,14:42:55,21.5,30.51,15.88,78.6,29.73,5,1.2
2015_01_01,14:44:12,21.5,30.51,15.76,78.2,27.98,5,0.4
2015_01_01,14:47:55,21.5,30.51,15.82,78.4,63.59,5,0.8
2015_01_01,14:49:12,21.52,30.51,16.02,79,98.43,5,0.6
2015_01_01,14:52:55,21.6,30.51,16.16,79.2,125.62,5,0.6
2015_01_01,14:54:12,21.66,30.51,16.16,79,149.35,5,1.8
2015_01_01,14:57:55,21.68,30.51,16.24,79.2,128.1,5,3
2015_01_01,14:59:12,21.72,30.51,16.4,79.6,83.79,5,2.6
2015_01_01,15:02:55,21.8,30.51,16.48,79.6,60.23,5,2.2
2015_01_01,15:04:12,21.8,30.51,16.42,79.4,68.87,4,2.2
2015_01_01,15:07:55,21.78,30.51,16.22,78.8,74.2,4,1
2015_01_01,15:09:13,21.78,30.51,16.22,78.8,71,4,0.4
